Subject,StartDate,StartTime,EndDate,EndTime,Location,Description,Countries,Director,Year,TrailerURL,RunningTime,Subtitles,Images
#chicagoGirl – The Social Network Takes on a Dictator,17/11/2014,18:00,17/11/2014,19:14,Carriageworks Theatre,"A fascinating perspective on the revolution in Syria and global activism in the age of social media, #chicagoGirl is 19 year old Alaa Basatneh, who plays a major role in organising resistance on the frontline from her bedroom in the Chicago suburbs. Armed with Facebook, Twitter, Skype and cameraphones, she helps her social network in Damascus and Homs, braves snipers and [...]

http://www.leedsfilm.com/films/chicagogirl-social-network-takes-dictator/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
1991: The Year Punk Broke,15/11/2014,14:00,15/11/2014,15:39,Leeds Town Hall - Victoria Hall,"The Sex Pistols gave the pop establishment a tremendous, galvanising shake-up in the late 70s, but it wasn't until 1991 that guitar wielding revolutionaries Nirvana and Sonic Youth changed the pop landscape forever. 1991: The Year Punk Broke catches both groups at their most passionate, just as they reach their explosive peak on a European [...]

http://www.leedsfilm.com/films/1991-year-punk-broke/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
2001: A Space Odyssey,18/11/2014,19:00,18/11/2014,22:00,Leeds Town Hall - Victoria Hall,"Returning to LIFF due to audience demand, 2001: A Space Odyssey is an experience not to be missed in the stunning setting of Leeds Town Hall. Repeatedly voted into top ten movies of all time lists, Stanley Kubrick's visionary sci-fi classic is a brilliantly imaginative adaptation of Arthur C Clarke's mind-bending novel, an episodic spectacle featuring balletic sequences of cine-choreography, awesome [...]

http://www.leedsfilm.com/films/2001-space-odyssey-3/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
A Hard Day,14/11/2014,20:30,14/11/2014,22:21,Leeds Town Hall - Victoria Hall,"A Hard Day is the must-see Far Eastern action film of the year. On the way back from his mother's funeral, special crimes detective Gun-su gets into an accident, killing a man instantly. To cover up his crime, he hides the body<br /> inside his mother's coffin, with her inside. A few days later, Gun-su's crime pops [...]

http://www.leedsfilm.com/films/hard-day/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
A Hard Day,15/11/2014,20:00,15/11/2014,21:51,Hyde Park Picture House,"A Hard Day is the must-see Far Eastern action film of the year. On the way back from his mother's funeral, special crimes detective Gun-su gets into an accident, killing a man instantly. To cover up his crime, he hides the body<br /> inside his mother's coffin, with her inside. A few days later, Gun-su's crime pops [...]

http://www.leedsfilm.com/films/hard-day/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
A Night at the Cinema in 1914,07/11/2014,19:00,07/11/2014,20:25,Hyde Park Picture House,"Screening as part of Leeds Free Cinema Week…As the Picture House turns 100 we would like to invite you to don your formal attire and join us to experience a night at the cinema 1914 style. This marvellous programme, compiled by the BFI National Archive, recreates the glorious miscellany of comedies, dramas, travelogues and newsreels [...]

http://www.leedsfilm.com/films/night-cinema-1914/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
ABCs of Death 2,14/11/2014,21:00,14/11/2014,23:05,Hyde Park Picture House,"Following on from the success of ABCs of Death in 2013 the most ambitious anthology ever conceived returns with 26 new directors, including many whose films have previously screened at LIFF: The Mighty Boosh's Julian Barratt, Robert Morgan, whose short film Invocation competed in the Silver Melies Short Film Award last year, Alejandro Brugues (Juan [...]

http://www.leedsfilm.com/films/abcs-death-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
A Masque of Madness (Notes on Film 06-B Monologue 02),07/11/2014,21:00,07/11/2014,22:20,Leeds Town Hall - Albert Room,"A Masque of Madness (Notes on Film 06-B, Monologue 02) is a surreal experiment that takes clips from over 50 years of Boris Karloff movies and compresses them all into a single feature length film, seeing Karloff portray over 170 different characters. The result is a schizophrenic horror journey in which Karloff often appears to [...]

http://www.leedsfilm.com/films/masque-madness-notes-film-06b-monologue-02/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg
A Masque of Madness (Notes on Film 06-B Monologue 02),12/11/2014,19:00,12/11/2014,20:20,Leeds Town Hall - Albert Room,"A Masque of Madness (Notes on Film 06-B Monologue 02) is a surreal experiment that takes clips from over 50 years of Boris Karloff movies and compresses them all into a single feature length film, seeing Karloff portray over 170 different characters. The result is a schizophrenic horror journey in which Karloff often appears to [...]

http://www.leedsfilm.com/films/masque-madness-notes-film-06b-monologue-02/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival ",UK,Mr Director,2013,http://www.youtube.com,90,Y,Star_wars_old.jpg|Starwars2.jpg|Starwars3.jpg